Started At,Duration,Preset,Activity
6/19/2017 14:40,0:55:43,,Guided Meditation
6/18/2017 17:50,0:27:15,,Guided Meditation
6/16/2017 12:29,0:20:05,,Guided Meditation
6/16/2017 8:47,0:15:00,,Meditation
6/15/2017 14:26,0:05:00,,Meditation
6/14/2017 12:20,0:16:57,,Guided Meditation
6/13/2017 16:19,0:10:00,,Meditation
6/10/2017 11:00,0:19:14,,Guided Meditation
6/9/2017 13:21,0:28:30,,Guided Meditation
6/8/2017 15:21,0:20:52,,Meditation
6/6/2017 12:25,0:22:50,,Guided Meditation
6/5/2017 15:12,0:20:00,,Meditation
6/3/2017 15:32,0:20:00,,Meditation
6/2/2017 9:37,0:28:57,,Guided Meditation
5/30/2017 13:52,0:20:00,,Meditation
5/29/2017 15:18,0:38:17,,Guided Meditation
5/28/2017 15:42,0:38:54,,Guided Meditation
5/27/2017 14:42,0:27:15,,Guided Meditation
5/25/2017 11:06,0:20:00,,Meditation
5/24/2017 14:02,0:20:00,,Meditation
5/23/2017 15:52,0:20:00,,Meditation
5/23/2017 11:25,0:08:00,,Healing
5/22/2017 14:19,0:15:00,,Meditation
5/20/2017 6:53,0:20:00,,Meditation
5/19/2017 12:12,0:10:00,,Meditation
5/19/2017 11:57,0:10:00,,Meditation
5/18/2017 16:39,0:10:00,,Meditation
5/17/2017 15:44,0:15:00,,Meditation
5/16/2017 15:40,0:10:00,,Meditation
5/14/2017 11:49,0:25:00,,Meditation
5/13/2017 16:20,0:24:40,,Meditation
5/12/2017 9:49,0:10:00,,Meditation
5/10/2017 11:56,0:25:00,,Meditation
5/9/2017 11:55,0:12:46,,Meditation
5/9/2017 11:19,0:06:11,,Meditation
5/8/2017 9:48,0:12:00,,Meditation
5/7/2017 15:11,0:25:00,,Meditation
5/6/2017 21:18,0:15:00,,Meditation
5/6/2017 15:53,0:11:46,,Guided Meditation
5/6/2017 15:33,0:07:06,,Guided Meditation
5/5/2017 11:47,0:20:00,,Meditation
5/4/2017 21:47,0:11:46,,Guided Meditation
5/4/2017 16:28,0:04:00,,Meditation
5/4/2017 11:31,0:07:00,,Healing
5/3/2017 15:54,0:07:00,,Healing
5/2/2017 20:37,0:15:00,,Meditation
5/1/2017 11:37,0:08:00,,Healing
4/30/2017 9:09,0:38:17,,Guided Meditation
4/28/2017 15:44,0:10:00,,Meditation
4/28/2017 12:18,0:07:00,,Healing
4/27/2017 16:21,0:05:00,,Meditation
4/26/2017 17:22,0:15:39,,Meditation
4/26/2017 15:05,0:08:00,,Healing
4/25/2017 17:40,0:08:00,,Healing
4/22/2017 6:03,0:38:17,,Guided Meditation
4/21/2017 14:23,0:08:00,,Healing
4/20/2017 10:50,0:08:00,,Healing
4/17/2017 14:48,0:05:00,,Healing
4/16/2017 10:23,0:27:15,,Guided Meditation
4/15/2017 6:20,0:24:00,,Meditation
4/14/2017 9:23,0:27:15,,Guided Meditation
4/13/2017 15:48,0:05:53,,Healing
4/13/2017 12:08,0:08:00,,Meditation
4/12/2017 10:52,0:08:00,,Healing
4/11/2017 15:24,0:08:00,,Healing
4/10/2017 15:08,0:08:00,,Meditation
4/9/2017 6:37,0:03:26,,Meditation
4/9/2017 6:03,0:29:46,,Guided Meditation
4/8/2017 6:15,0:25:00,,Meditation
4/7/2017 6:15,0:25:00,,Meditation
4/6/2017 15:11,0:08:00,,Meditation
4/5/2017 14:54,0:10:00,,Meditation
4/5/2017 10:50,0:08:00,,Healing
4/4/2017 11:05,0:08:00,,Healing
4/4/2017 6:44,0:20:00,,Meditation
4/3/2017 10:20,0:08:00,,Healing
4/2/2017 16:50,0:27:15,,Guided Meditation
4/1/2017 14:26,0:27:15,,Guided Meditation
3/31/2017 9:55,0:05:34,,Guided Meditation
3/31/2017 9:22,0:31:18,,Guided Meditation
3/30/2017 11:00,0:08:00,,Healing
3/29/2017 15:22,0:08:00,,Healing
3/28/2017 14:29,0:08:00,,Healing
3/28/2017 11:21,0:15:00,,Meditation
3/27/2017 7:34,0:09:03,,Guided Meditation
3/26/2017 20:53,0:15:00,,Meditation
3/26/2017 20:18,0:03:07,,Guided Meditation
3/24/2017 17:23,0:15:00,,Meditation
3/23/2017 21:24,0:05:00,,Meditation
3/22/2017 20:39,0:11:46,,Guided Meditation
3/22/2017 15:34,0:07:00,,Meditation
3/22/2017 11:13,0:10:00,,Meditation
3/21/2017 11:21,0:08:00,,Healing
3/20/2017 15:00,0:08:00,,Healing
3/19/2017 10:20,0:27:15,,Guided Meditation
3/18/2017 14:17,0:38:17,,Guided Meditation
3/17/2017 15:59,0:05:00,,Meditation
3/16/2017 11:31,0:07:00,,Healing
3/15/2017 14:56,0:07:00,,Healing
3/14/2017 9:53,0:38:17,,Guided Meditation
3/13/2017 21:09,0:04:40,,Guided Meditation
3/8/2017 14:14,0:15:00,,Meditation
3/7/2017 17:58,0:15:00,,Meditation
3/6/2017 16:25,0:10:00,,Meditation
3/6/2017 15:32,0:10:00,,Healing
3/5/2017 10:22,0:30:00,,Meditation
3/4/2017 16:51,1:00:00,,Meditation
3/3/2017 20:37,0:12:00,,Meditation
3/3/2017 17:54,0:10:00,,Meditation
3/3/2017 13:38,0:15:00,,Meditation
3/2/2017 16:28,0:10:00,,Meditation
2/28/2017 18:11,0:15:26,,Guided Meditation
2/28/2017 14:21,0:15:00,,Meditation
2/28/2017 11:36,0:10:00,,Healing
2/26/2017 20:27,0:10:00,,Meditation
2/25/2017 16:40,0:08:00,,Meditation
2/25/2017 14:18,0:30:00,,Meditation
2/24/2017 9:31,0:20:00,twenty,Meditation
2/23/2017 11:46,0:10:00,,Meditation
2/22/2017 18:27,0:25:00,,Meditation
2/22/2017 11:25,0:15:00,,Meditation
2/21/2017 21:09,0:11:46,,Guided Meditation
2/20/2017 12:31,0:10:00,,Meditation
2/18/2017 19:36,1:00:00,,Meditation
2/17/2017 19:36,0:15:00,,Meditation
2/17/2017 18:36,0:05:00,,Meditation
2/17/2017 15:44,0:15:00,,Meditation
2/17/2017 12:09,0:15:00,,Meditation
2/14/2017 13:05,0:15:00,,Meditation
2/14/2017 11:47,0:15:00,,Meditation
2/13/2017 11:43,0:15:00,,Meditation
2/13/2017 11:17,0:15:00,,Meditation
2/11/2017 8:53,0:38:54,,Guided Meditation
2/10/2017 15:46,0:15:00,,Meditation
2/8/2017 15:16,0:15:00,,Meditation
2/7/2017 20:35,0:17:34,,Meditation
2/7/2017 17:03,0:05:00,,Meditation
2/4/2017 18:50,0:10:00,,Meditation
2/3/2017 11:58,0:05:00,,Meditation
2/2/2017 15:46,0:10:00,,Meditation
2/2/2017 11:58,0:04:59,,Meditation
2/1/2017 15:41,0:10:00,,Meditation
2/1/2017 11:47,0:10:00,,Meditation
1/31/2017 14:36,0:10:00,,Meditation
1/31/2017 11:16,0:05:00,,Meditation
1/30/2017 12:40,0:10:00,,Meditation
1/29/2017 12:34,0:40:00,,Meditation
1/28/2017 18:06,0:10:00,,Meditation
1/26/2017 21:18,0:11:45,,Guided Meditation
1/26/2017 11:26,0:09:21,,Guided Meditation
